"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
210,@1cesarrossixxx,20K,5113,1cesarrossixxx,19543,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-04-22 02:00:00.000,2022-06-03 02:00:00.000
211,@noahxrider,19K,5122,noahxrider,19432,2600,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-05-12 02:00:00.000,2022-05-03 02:00:00.000,2022-06-03 02:00:00.000
212,@dakotahpxxx,19K,5149,dakotahpxxx,19233,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
213,@mattheronxxx,19K,5168,mattheronxxx,19056,,Miami,Miami,,Miami,,Miami,,,,FL,MIAMI,2022-05-28 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
214,@thesexystache,19K,5197,thesexystache,18867,1300,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000
215,@zorohub,19K,5217,zorohub,18683,3800,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-03-08 01:00:00.000,2022-02-28 01:00:00.000,2022-06-03 02:00:00.000
216,@naked_silver,19K,5231,naked_silver,18603,,"St Petersburg, FL",St Petersburg,FL,"St Petersburg, FL",,"St Petersburg, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
217,@heim_ian,18K,5274,heim_ian,18367,,"Florida, NYC, Houston, USA",Florida,NYC,"Florida, NYC, Houston, USA",,"Florida, NYC, Houston, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
218,@stevesommersxxx,18K,5294,stevesommersxxx,18210,,"Oakland Park, FL",Oakland Park,FL,"Oakland Park, FL",,"Oakland Park, FL",,,,CA,OAKLAND,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
219,@maddoxryker,18K,5310,maddoxryker,18081,14500,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
220,@justinerosxxx,18K,5322,justinerosxxx,17948,509,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
221,@raunchywolf1,18K,5355,raunchywolf1,17729,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
222,@nastygaymer,18K,5363,nastygaymer,17651,253,Midwest,Midwest,,Midwest,,Midwest,,,,FL,,2022-06-03 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
223,@agxmiami,18K,5370,agxmiami,17601,580,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
224,@bottombabexxx,17K,5427,bottombabexxx,17098,5600,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
225,@machaeljohnson,17K,5466,machaeljohnson,16868,,"Oakland Park, FL",Oakland Park,FL,"Oakland Park, FL",,"Oakland Park, FL",,,,CA,OAKLAND,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
226,@papivacci,17K,5479,papivacci,16781,648,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
227,@ramscub,17K,5502,ramscub,16578,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
228,@cocodiesel23,17K,5506,cocodiesel23,16547,3200,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
229,@russiangaymer,16K,5615,russiangaymer,15858,76,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
230,@pinocchio82,16K,5641,pinocchio82,15727,284,Fort Lauderdale,Fort Lauderdale,,Fort Lauderdale,,Fort Lauderdale,,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
231,@filoufitt,15K,5672,filoufitt,15484,130000,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
232,@gaycountryboy87,15K,5720,gaycountryboy87,15247,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-04-23 02:00:00.000,2022-06-03 02:00:00.000
233,@nickdannerxxx,15K,5770,nickdannerxxx,14886,8,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-03 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
234,@ryan_mnx,15K,5785,ryan_mnx,14781,286,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
235,@gabdaxxx,15K,5797,gabdaxxx,14746,6500,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
236,@leoovice,15K,5815,leoovice,14566,307,"Miami,fl",Miami,fl,"Miami,fl",,"Miami,fl",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
237,@thisispoyato,15K,5818,thisispoyato,14544,28600,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
238,@liamarcherxxx,14K,5837,liamarcherxxx,14425,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-09 02:00:00.000,2022-06-03 02:00:00.000
239,@daddylancesf,14K,5871,daddylancesf,14276,60,"St Petersburg, FL",St Petersburg,FL,"St Petersburg, FL",,"St Petersburg, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
240,@itscamnxtdoor,14K,5888,itscamnxtdoor,14169,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-14 02:00:00.000,2022-06-03 02:00:00.000
241,@jaxsonorleans,14K,5919,jaxsonorleans,14013,1100,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
242,@parkergrantxxx,14K,5920,parkergrantxxx,14003,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000
243,@archiebakk,14K,5945,archiebakk,13797,686,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
244,@iamcassidyclyde,13K,6032,iamcassidyclyde,13293,,"Jacksonville Beach, FL",Jacksonville Beach,FL,"Jacksonville Beach, FL",,"Jacksonville Beach, FL",,,,FL,JACKSONVILLE,2022-06-02 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
245,@sethcoxxx,13K,6037,sethcoxxx,13279,1000,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
246,@ajmarshallxxx,13K,6047,ajmarshallxxx,13192,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
247,@ellisluck11,13K,6055,ellisluck11,13114,,miami,miami,,miami,,miami,,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
248,@bjmasters21,13K,6066,bjmasters21,13069,2200,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
249,@camnxttdoor,13K,6084,camnxttdoor,12983,164,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-03-29 02:00:00.000,2022-03-26 01:00:00.000,2022-06-03 02:00:00.000
250,@seanduranx,13K,6132,seanduranx,12700,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
251,@tim_parise,13K,6163,tim_parise,12557,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
252,@369aces,12K,6232,369aces,12220,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-03-18 01:00:00.000,2022-03-14 01:00:00.000,2022-06-03 02:00:00.000
253,@thatoneguyff,12K,6236,thatoneguyff,12204,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
254,@xjoshlong,12K,6253,xjoshlong,12096,,"Tampa, Fl",Tampa,Fl,"Tampa, Fl",,"Tampa, Fl",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
255,@thevossboysx,12K,6254,thevossboysx,12088,1200,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
256,@hopefulromcom,12K,6258,hopefulromcom,12065,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
257,@axeln0xx,12K,6259,axeln0xx,12065,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
258,@roman_blaque,12K,6273,roman_blaque,11960,658,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
259,@trittylerxxx,11K,6387,trittylerxxx,11390,187,Fort Lauderdale,Fort Lauderdale,,Fort Lauderdale,,Fort Lauderdale,,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
260,@fitness_lleo,11K,6394,fitness_lleo,11323,209,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-11 02:00:00.000,2022-06-03 02:00:00.000
261,@aidenasher11,11K,6419,aidenasher11,11186,,FL,FL,,FL,,FL,,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
262,@aashwork,11K,6423,aashwork,11182,,"Midwest, Usa ",Midwest,Usa,"Midwest, Usa",,"Midwest, Usa",,,,FL,,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
263,@mastergio692,11K,6489,mastergio692,10917,4400,"Hollywood, FL",Hollywood,FL,"Hollywood, FL",,"Hollywood, FL",,,,CA,HOLLYWOOD,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
264,@alesshaddad,11K,6502,alesshaddad,10836,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
265,@alehad1992,11K,6508,alehad1992,10826,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-05-09 02:00:00.000,2022-04-22 02:00:00.000,2022-06-03 02:00:00.000
266,@cumdumpster6911,11K,6524,cumdumpster6911,10745,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
267,@jacobwoodsxxx,11K,6545,jacobwoodsxxx,10654,229,Wilton Manors FL,Wilton Manors FL,,Wilton Manors FL,,Wilton Manors FL,,,,FL,,2022-06-02 02:00:00.000,2022-05-14 02:00:00.000,2022-06-03 02:00:00.000
268,@muscleboyingear,10K,6593,muscleboyingear,10417,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
269,@fitness_mgs,10K,6614,fitness_mgs,10268,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
270,@latinhungmaster,10K,6617,latinhungmaster,10258,700,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
271,@edwinnnxo,10K,6625,edwinnnxo,10228,354,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
272,@ryankneeds,10K,6638,ryankneeds,10159,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-13 02:00:00.000,2022-06-03 02:00:00.000
273,@daxboynsfw,10K,6655,daxboynsfw,10084,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
274,@lorenzo_fit,10K,6695,lorenzo_fit,9901,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-11 02:00:00.000,2022-06-03 02:00:00.000
275,@highasadaydream,10K,6718,highasadaydream,9778,177,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
276,@djkingfitness,10K,6733,djkingfitness,9684,37300,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
277,@roblawx,10K,6755,roblawx,9593,,"Key West, FL",Key West,FL,"Key West, FL",,"Key West, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
278,@derekstonexxx,9K,6857,derekstonexxx,9102,77,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
279,@adrianrosexxx,9K,6930,adrianrosexxx,8787,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
280,@frankiiex,9K,6955,frankiiex,8697,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
281,@boytoy7733,9K,6974,boytoy7733,8611,375,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
282,@luiisge,9K,6983,luiisge,8586,1300,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
283,@bbcumfucker,9K,6991,bbcumfucker,8574,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
284,@latinpupxxx,8K,7040,latinpupxxx,8324,475,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
285,@fitcurtis,8K,7072,fitcurtis,8152,,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
286,@johnnybandera,8K,7081,johnnybandera,8110,264,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
287,@blasianking407,8K,7141,blasianking407,7869,356,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
288,@andrewconnorxxx,8K,7144,andrewconnorxxx,7853,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
289,@humbl3gentleman,8K,7178,humbl3gentleman,7686,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
290,@gryphonashe,8K,7190,gryphonashe,7630,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
291,@santiagoxjorge,7K,7231,santiagoxjorge,7427,67,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
292,@javier_gabrielx,7K,7236,javier_gabrielx,7413,955,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
293,@adrian_rose_61,7K,7253,adrian_rose_61,7345,771,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-04-22 02:00:00.000,2022-04-22 02:00:00.000,2022-06-03 02:00:00.000
294,@demonxtop,7K,7306,demonxtop,7105,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
295,@pitsimusprime,7K,7355,pitsimusprime,6907,644,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
296,@gmxpapi,7K,7368,gmxpapi,6856,1100,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
297,@gunnarjo616,7K,7450,gunnarjo616,6507,,Midwest,Midwest,,Midwest,,Midwest,,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
298,@thehuntxxx,6K,7554,thehuntxxx,6163,128,Florida!,Florida!,,Florida!,,Florida!,,,,FL,,2022-06-03 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
299,@xxleric2,6K,7574,xxleric2,6102,,Tampa Florida ,Tampa Florida,,Tampa Florida,,Tampa Florida,,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
300,@mateohappyxx,6K,7605,mateohappyxx,6017,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-03-06 01:00:00.000,2022-06-03 02:00:00.000
301,@johnnyxnxx,6K,7637,johnnyxnxx,5899,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
302,@benjamingreyxxx,6K,7639,benjamingreyxxx,5897,19100,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
303,@reclusivefreak,6K,7649,reclusivefreak,5853,18,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
304,@kadenparx,6K,7714,kadenparx,5645,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
305,@seanwestonxxx,6K,7747,seanwestonxxx,5557,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
306,@tinybottomboy,6K,7766,tinybottomboy,5500,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
307,@albyharris,5K,7768,albyharris,5490,,Orlando Florida ,Orlando Florida,,Orlando Florida,,Orlando Florida,,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
308,@beardedfootman,5K,7829,beardedfootman,5292,,"Cape Coral, FL",Cape Coral,FL,"Cape Coral, FL",,"Cape Coral, FL",,,,FL,CAPE CORAL,2022-06-03 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
309,@ricanhealthy,5K,7872,ricanhealthy,5131,,"Orlando, FL and Everywhere! ",Orlando,FL and Everywhere!,"Orlando, FL and Everywhere!",,"Orlando, FL and Everywhere!",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
310,@daddykenxxx,5K,7893,daddykenxxx,5072,,Saint Petersburg FL,Saint Petersburg FL,,Saint Petersburg FL,,Saint Petersburg FL,,,,FL,,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
311,@latinxxxmike,5K,7905,latinxxxmike,5025,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
312,@onlyjoel2817,5K,7921,onlyjoel2817,4986,6600,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
313,@twinknova,5K,7968,twinknova,4823,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-04-22 02:00:00.000,2022-06-03 02:00:00.000
314,@joaks88,5K,7975,joaks88,4811,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
315,@alejothefit,5K,7987,alejothefit,4773,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
