"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
316,@rowanhunterxxx,5K,8039,rowanhunterxxx,4610,,"Merritt Island, FL",Merritt Island,FL,"Merritt Island, FL",,"Merritt Island, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
317,@bitchboy2040,5K,8044,bitchboy2040,4588,341,"North Miami, FL",North Miami,FL,"North Miami, FL",,"North Miami, FL",,,,FL,MIAMI,2022-03-31 02:00:00.000,2022-03-08 01:00:00.000,2022-06-03 02:00:00.000
318,@gaybodyhottie,4K,8122,gaybodyhottie,4369,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
319,@bigdvic1,4K,8177,bigdvic1,4200,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
320,@wrecker4ass,4K,8184,wrecker4ass,4185,,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
321,@davyd_jay,4K,8220,davyd_jay,4089,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
322,@jt_swole,4K,8245,jt_swole,4023,,"Tampa, Florida, USA",Tampa,Florida,"Tampa, Florida, USA",,"Tampa, Florida, USA",,,,FL,TAMPA,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
323,@troyhardt,4K,8275,troyhardt,3904,114,"Wilton Manors, FL",Wilton Manors,FL,"Wilton Manors, FL",,"Wilton Manors, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
324,@xxxamonebane,4K,8303,xxxamonebane,3812,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
325,@braystjaymesxxx,4K,8314,braystjaymesxxx,3789,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
326,@sourjaxx,4K,8316,sourjaxx,3782,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
327,@spellerthiago,4K,8322,spellerthiago,3762,7,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
328,@mrbigguyt,4K,8334,mrbigguyt,3742,3,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
329,@buffmatthewsxxx,4K,8355,buffmatthewsxxx,3697,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
330,@flplantboy,4K,8381,flplantboy,3626,151,"Naples, FL",Naples,FL,"Naples, FL",,"Naples, FL",,,,FL,,2022-04-24 02:00:00.000,2022-04-18 02:00:00.000,2022-06-03 02:00:00.000
331,@theejayell,4K,8416,theejayell,3518,,"Miami, San Antonio, New York",Miami,San Antonio,"Miami, San Antonio, New York",,"Miami, San Antonio, New York",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
332,@jgbottom069,3K,8434,jgbottom069,3468,66,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
333,@aaronsnowxxx,3K,8453,aaronsnowxxx,3424,3900,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
334,@leatherlanz428,3K,8476,leatherlanz428,3360,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
335,@rosswilsoncam,3K,8514,rosswilsoncam,3260,,"Florida, United States",Florida,United States,"Florida, United States",,"Florida, United States",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
336,@nsfw_miguel,3K,8532,nsfw_miguel,3209,,"St Petersburg, FL",St Petersburg,FL,"St Petersburg, FL",,"St Petersburg, FL",,,,FL,,2022-05-31 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
337,@kentmarksxxx,3K,8542,kentmarksxxx,3190,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
338,@chasedanielsxxx,3K,8553,chasedanielsxxx,3164,,Tampa,Tampa,,Tampa,,Tampa,,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
339,@tonylazzarixxx,3K,8572,tonylazzarixxx,3098,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
340,@childofveenus,3K,8577,childofveenus,3088,169,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
341,@therealvinroxx,3K,8607,therealvinroxx,3007,6900,"Gainesville, FL",Gainesville,FL,"Gainesville, FL",,"Gainesville, FL",,,,FL,GAINESVILLE,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
342,@jhoan_garcia91,3K,8621,jhoan_garcia91,2988,309,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-30 02:00:00.000,2022-06-03 02:00:00.000
343,@mavp1998,3K,8629,mavp1998,2973,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
344,@gerrywestx,3K,8635,gerrywestx,2959,392,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-09 02:00:00.000,2022-06-03 02:00:00.000
345,@francoscottxxx,3K,8686,francoscottxxx,2847,118,Miami Beach,Miami Beach,,Miami Beach,,Miami Beach,,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
346,@valentinovxxx,3K,8698,valentinovxxx,2822,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
347,@maxromanoxxx,3K,8727,maxromanoxxx,2741,20,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
348,@talldarkandxxx,3K,8783,talldarkandxxx,2629,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
349,@valentinofuexxx,3K,8786,valentinofuexxx,2617,,"FT. Lauderdale, Florida",FT. Lauderdale,Florida,"FT. Lauderdale, Florida",,"FT. Lauderdale, Florida",,,,FL,,2022-06-03 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
350,@hornedants,3K,8795,hornedants,2589,149,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
351,@blakeadams21,3K,8820,blakeadams21,2536,131, Midwest,Midwest,,Midwest,,Midwest,,,,FL,,2022-03-29 02:00:00.000,2022-03-06 01:00:00.000,2022-06-03 02:00:00.000
352,@alphamuscle_,2K,8898,alphamuscle_,2327,,Tampa florida,Tampa florida,,Tampa florida,,Tampa florida,,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
353,@ashillbay,2K,8912,ashillbay,2283,,Wilton manors,Wilton manors,,Wilton manors,,Wilton manors,,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
354,@axelmorecox,2K,8932,axelmorecox,2247,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
355,@max_royse,2K,8953,max_royse,2206,512,Russia St. Petersburg ,Russia St. Petersburg,,Russia St. Petersburg,,Russia St. Petersburg,,,,FL,ST. PETERSBURG,2022-06-02 02:00:00.000,2022-05-15 02:00:00.000,2022-06-03 02:00:00.000
356,@xprettiboireddx,2K,8977,xprettiboireddx,2142,20,Florida ,Florida,,Florida,,Florida,,,,FL,,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
357,@strong_hands34,2K,9041,strong_hands34,2011,1800,"Oakland Park, FL",Oakland Park,FL,"Oakland Park, FL",,"Oakland Park, FL",,,,CA,OAKLAND,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
358,@whorlandocplxxx,2K,9057,whorlandocplxxx,1981,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
359,@hyperxjesse,2K,9071,hyperxjesse,1957,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
360,@uncutjock,2K,9074,uncutjock,1955,852,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
361,@mikeyleaksxxx,2K,9075,mikeyleaksxxx,1955,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
362,@artthot_,2K,9080,artthot_,1949,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
363,@blainebakerxxx,2K,9113,blainebakerxxx,1874,,"Naples, FL",Naples,FL,"Naples, FL",,"Naples, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
364,@prestonnxxx,2K,9139,prestonnxxx,1827,97,"St. Augustine, FL",St. Augustine,FL,"St. Augustine, FL",,"St. Augustine, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
365,@jeremyvcollins1,2K,9157,jeremyvcollins1,1791,,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
366,@chaseharleyxxx,2K,9182,chaseharleyxxx,1738,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
367,@denistommo,2K,9187,denistommo,1729,733,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
368,@dane_decardeza,2K,9223,dane_decardeza,1678,302,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-14 02:00:00.000,2022-06-03 02:00:00.000
369,@miamimusclejock,2K,9229,miamimusclejock,1664,61,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
370,@angelaviancexxx,2K,9237,angelaviancexxx,1652,43,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
371,@openguypig,1K,9332,openguypig,1494,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-03-02 01:00:00.000,2022-06-03 02:00:00.000
372,@domtopbottom,1K,9372,domtopbottom,1416,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
373,@lockedajax,1K,9391,lockedajax,1381,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
374,@mastermoosefl,1K,9392,mastermoosefl,1379,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-19 02:00:00.000,2022-06-03 02:00:00.000
375,@urboynextdoor_,1K,9400,urboynextdoor_,1355,167,Florida,Florida,,Florida,,Florida,,,,FL,,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
376,@mateocummingsxx,1K,9410,mateocummingsxx,1337,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-04-05 02:00:00.000,2022-03-14 01:00:00.000,2022-06-03 02:00:00.000
377,@josh_ryanxxx,1K,9499,josh_ryanxxx,1184,,Fort Lauderdale,Fort Lauderdale,,Fort Lauderdale,,Fort Lauderdale,,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
378,@mnmogul10,1K,9510,mnmogul10,1168,,"Palm Beach Gardens, FL",Palm Beach Gardens,FL,"Palm Beach Gardens, FL",,"Palm Beach Gardens, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
379,@nsfw_lexx,1K,9533,nsfw_lexx,1148,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
380,@zaddyliam1,1K,9542,zaddyliam1,1142,,"Miami, Fl",Miami,Fl,"Miami, Fl",,"Miami, Fl",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
381,@cumpastel,1K,9559,cumpastel,1108,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
382,@mateorosexxx,1K,9561,mateorosexxx,1104,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
383,@a_gabrielx,1K,9569,a_gabrielx,1089,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
384,@jagger_jul,1K,9583,jagger_jul,1072,594,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
385,@tony_balmain,1K,9585,tony_balmain,1071,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
386,@vintage_lvr_cub,1K,9607,vintage_lvr_cub,1040,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
387,@moneyxay,1K,9612,moneyxay,1030,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
388,@jakexowens,1K,9637,jakexowens,991,,"Tampa Bay, FL",Tampa Bay,FL,"Tampa Bay, FL",,"Tampa Bay, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-04-29 02:00:00.000,2022-06-03 02:00:00.000
389,@joshbakerxxx,1K,9647,joshbakerxxx,968,,"Naples, FL",Naples,FL,"Naples, FL",,"Naples, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
390,@evanshroverxxx,1K,9651,evanshroverxxx,957,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
391,@princesalbertxx,1K,9669,princesalbertxx,925,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
392,@tigerxcock,1K,9675,tigerxcock,917,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
393,@xldragon69,1K,9682,xldragon69,904,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-17 02:00:00.000,2022-06-03 02:00:00.000
394,@lilwetbottom,1K,9710,lilwetbottom,850,,"Jacksonville, Fl",Jacksonville,Fl,"Jacksonville, Fl",,"Jacksonville, Fl",,,,FL,JACKSONVILLE,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
395,@_ridethedragon,1K,9738,_ridethedragon,795,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-26 02:00:00.000,2022-06-03 02:00:00.000
396,@j_ivanni,1K,9745,j_ivanni,780,,"Kissimmee, FL",Kissimmee,FL,"Kissimmee, FL",,"Kissimmee, FL",,,,FL,,2022-06-03 02:00:00.000,2022-05-11 02:00:00.000,2022-06-03 02:00:00.000
397,@tony_rosexx,1K,9881,tony_rosexx,572,17,Miami ,Miami,,Miami,,Miami,,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
398,@zachthompsonxxx,1K,9891,zachthompsonxxx,561,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
399,@derekpiercexxx,1K,9904,derekpiercexxx,546,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
400,@kevinnoah5x,1K,9925,kevinnoah5x,518,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
401,@giordanoxxx,1K,9929,giordanoxxx,514,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-05-12 02:00:00.000,2022-06-03 02:00:00.000
402,@thatfurryboy,K,9960,thatfurryboy,469,,Florida,Florida,,Florida,,Florida,,,,FL,,2022-06-02 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
403,@star69bottom,K,9981,star69bottom,451,,"Orlando,Fl.",Orlando,Fl.,"Orlando,Fl.",,"Orlando,Fl.",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
404,@asherconor,K,10018,asherconor,406,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
405,@lealchx,K,10057,lealchx,335,21,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-10 02:00:00.000,2022-06-03 02:00:00.000
406,@liamlucaxxx,K,10100,liamlucaxxx,295,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-15 02:00:00.000,2022-06-03 02:00:00.000
407,@axelstjohn,K,10109,axelstjohn,288,7,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
408,@blakejordanxxx,K,10148,blakejordanxxx,249,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
409,@ftlmaskedx,K,10153,ftlmaskedx,245,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
410,@persianotterxxx,K,10155,persianotterxxx,243,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
411,@nwflcumdump,K,10166,nwflcumdump,234,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-04-25 02:00:00.000,2022-06-03 02:00:00.000
412,@oceaneyes21_,K,10182,oceaneyes21_,220,42,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
413,@girthfan87,K,10183,girthfan87,218,258,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-24 02:00:00.000,2022-06-03 02:00:00.000
414,@jasontfitness,K,10194,jasontfitness,212,,"Jacksonville, FL",Jacksonville,FL,"Jacksonville, FL",,"Jacksonville, FL",,,,FL,JACKSONVILLE,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
415,@florida_vers,K,10204,florida_vers,204,,"Kissimmee, FL",Kissimmee,FL,"Kissimmee, FL",,"Kissimmee, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
416,@adamxmonroe,K,10260,adamxmonroe,136,,"Gainesville, FL",Gainesville,FL,"Gainesville, FL",,"Gainesville, FL",,,,FL,GAINESVILLE,2022-06-02 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
417,@ftlhockeyjocks2,K,10274,ftlhockeyjocks2,125,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
418,@ty_robertsxxx,K,10275,ty_robertsxxx,124,330,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-04-14 02:00:00.000,2022-06-03 02:00:00.000
419,@danny_steele_x,K,10307,danny_steele_x,89,53,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
420,@matt_williamx,K,10320,matt_williamx,78,67,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
421,@gay1738w,K,10358,gay1738w,45,,"Pensacola, FL",Pensacola,FL,"Pensacola, FL",,"Pensacola, FL",,,,FL,,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
422,@theargonaut87,K,10359,theargonaut87,45,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-20 02:00:00.000,2022-06-03 02:00:00.000
423,@alexx_rush97,K,10395,alexx_rush97,19,6,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000

